ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
1240	Katukina	forehead, face	βɨmɐˈna	βɨmɐˈna	β ɨ m ɐ n a	None	490		['β', 'ɨ', 'm', 'ɐ', 'n', 'a', '-', '(', '-', '-', ')']	142
1242	Kaxinawa	forehead, face	bɨmãnã	bɨmãnã	b ɨ m ã n ã	None	490		['b', 'ɨ', 'm', 'ã', 'n', 'ã', '-', '(', '-', '-', ')']	142
1243	Marinawa	forehead, face	ɸɨ́mã́nã́	ɸɨ́mã́nã́	ɸ !ɨ́/ɨ m !ã́/ã n !ã́/ã	None	490		['ɸ', '!ɨ́/ɨ', 'm', '!ã́/ã', 'n', '!ã́/ã', '-', '(', '-', '-', ')']	142
1244	Yawanawa	forehead, face	βɨmaˈnɐ̃	βɨmaˈnɐ̃	β ɨ m a n ɐ̃	None	490		['β', 'ɨ', 'm', 'a', 'n', 'ɐ̃', '-', '(', '-', '-', ')']	142
1245	Korubo	forehead, face	βɨmanan	βɨmanan	β ɨ m a n a n	None	490		['β', 'ɨ', 'm', 'a', 'n', 'a', 'n', '(', '-', '-', ')']	142
1246	Matis	forehead, face	bɨmanan	bɨmanan	b ɨ m a n a n	None	490		['b', 'ɨ', 'm', 'a', 'n', 'a', 'n', '(', '-', '-', ')']	142
1378	Kaxarari	forehead, face	tʃɨtũˈku	tʃɨtũˈku	tʃ ɨ t ũ k u	None	592		['tʃ', 'ɨ', '(', '-', 't', '-', '-', 'ũ', '-', 'k', 'u', '-', '-', '-', ')']	143
1381	Amawaka	forehead, face	wɨ-mãko	wɨ-mãko	w ɨ m ã k o	None	502		['w', 'ɨ', '(', '+', '-', 'm', 'ã', '-', '-', 'k', 'o', '-', '-', '-', ')']	142
3979	Proto-Panoan	forest	[n]iʔi	[n]iʔi	rⁿ i ʔ i	None	198		['rⁿ', 'i', 'ʔ', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3980	Kakataibo	forest	nii	nii	n i i	None	198		['n', 'i', '-', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3981	Kakataibo	forest	ni	ni	n i	None	705		['n', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
3982	ShipiboKonibo	forest	nii	nii	n i i	None	198		['n', 'i', '-', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3983	Kapanawa	forest	niʔi	niʔi	n i ʔ i	None	198		['n', 'i', 'ʔ', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3984	Marubo	forest	nii	nii	n i i	None	198		['n', 'i', '-', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3985	Chakobo	forest	niʔi	niʔi	n i ʔ i	None	198		['n', 'i', 'ʔ', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3986	Yaminawa	forest	nii	nii	n i i	None	198		['n', 'i', '-', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3987	Chaninawa	forest	di_mɨran	di_mɨran	d i m ɨ r a n	None	198		['d', 'i', '-', '-', '(', '+', 'm', 'ɨ', 'r', 'a', 'n', ')']	145
3988	Chaninawa	forest	ni_mɨran	ni_mɨran	n i m ɨ r a n	None	198		['n', 'i', '-', '-', '(', '+', 'm', 'ɨ', 'r', 'a', 'n', ')']	145
3989	Chaninawa	forest	dii_mɨran	dii_mɨran	d i i m ɨ r a n	None	198		['d', 'i', '-', 'i', '(', '+', 'm', 'ɨ', 'r', 'a', 'n', ')']	145
3990	Sharanawa	forest	nii	nii	n i i	None	198		['n', 'i', '-', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3992	Shanenawa	forest	ni	ni	n i	None	198		['n', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
3993	Katukina	forest	nii	nii	n i i	None	198		['n', 'i', '-', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3994	Poyanawa	forest	di	di	d i	None	198		['d', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
3995	Amawaka	forest	niʔi	niʔi	n i ʔ i	II	198		['n', 'i', 'ʔ', 'i', '(', '-', '-', '-', '-', '-', '-', ')']	144
3996	Kaxinawa	forest	ni	ni	n i	None	198		['n', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
3997	Marinawa	forest	ní	ní	n !í/i	None	198		['n', '!í/i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
3998	Yawanawa	forest	ni	ni	n i	None	198		['n', 'i', '-', '-', '(', '-', '-', '-', '-', '-', '-', ')']	144
