ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
5653	Yawanawa	anteater	ʂaˈɨ	ʂaˈɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5654	Korubo	anteater	ʃaɨ	ʃaɨ	ʃ a ɨ	None	328	ʃ a - ɨ ( - )
5655	Matis	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5656	Korubo	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
5657	Mayoruna	anteater	ʂaɨ	ʂaɨ	ʂ a ɨ	None	328	ʂ a - ɨ ( - )
4998	Proto-Panoan	arm	poyam	poyam	p o j a m	None	279	p o j a m ( - - - - - - )
4999	Kakataibo	arm	pɨñã	pɨñã	p ɨ ɲ ã	None	667	p ɨ ɲ ã - - ( - - - - - )
5000	ShipiboKonibo	arm	poyã_o_põyã	poyã_o_põyã	p õ j ã	None	279	p õ j ã - ( - - - - - - )
5001	Kapanawa	arm	poyán	poyán	p o j !á/a n	None	279	p o j !á/a n ( - - - - - - )
5002	Marubo	arm	puˈɐ̃	puˈɐ̃	p u ɐ̃	None	279	p u - ɐ̃ - ( - - - - - - )
5003	Chakobo	arm	poyámɨ	poyámɨ	p o j !á/a m ɨ	None	279	p o j !á/a m ( ɨ - - - - - )
5004	Yaminawa	arm	põya	põya	p õ j a	None	279	p õ j a - ( - - - - - - )
5005	Yaminawa	arm	põyamã	põyamã	p õ j a m ã	None	279	p õ j a m ( ã - - - - - )
5006	Chaninawa	arm	póyan	póyan	p !ó/o j a n	None	279	p !ó/o j a n ( - - - - - - )
5007	Sharanawa	arm	poyan	poyan	p o j a n	None	279	p o j a n ( - - - - - - )
5008	Sharanawa	arm	poyanpan	poyanpan	p o j a n p a n	None	279	p o j a n ( - - - p a n )
5009	Katukina	arm	puyan	puyan	p u j a n	None	279	p u j a n ( - - - - - - )
5010	Katukina	arm	puˈyɐ̃	puˈyɐ̃	p u j ɐ̃	None	279	p u j ɐ̃ - ( - - - - - - )
5011	Poyanawa	arm	puyã	puyã	p u j ã	None	279	p u j ã - ( - - - - - - )
5012	Amawaka	arm	põyã_I	põyã_I	p õ j ã	None	279	p õ j ã - ( - - - - - - )
5013	Kaxinawa	arm	puyã	puyã	p u j ã	None	279	p u j ã - ( - - - - - - )
5014	Marinawa	arm	poyã	poyã	p o j ã	None	279	p o j ã - ( - - - - - - )
5015	Marinawa	arm	pɨ́́tao	pɨ́́tao	p !ɨ́/ɨ t a o	None	523	p !ɨ́/ɨ - - - - ( t a o - - )
5017	Yawanawa	arm	puia-uma	puia-uma	p u j a + u m a	None	279	p u j a - ( - + u m a - )
2498	Marubo	arrow	kãti	kãti	k ã t i	None	77	( - - - - ) k ã - - t i ( - - )
4725	Proto-Panoan	arrow	pia	pia	p i a	None	257	p i - a ( - )
4726	Kakataibo	arrow	pia	pia	p i a	None	257	p i - a ( - )
4727	ShipiboKonibo	arrow	pia	pia	p i a	None	257	p i - a ( - )
4729	Chakobo	arrow	pia	pia	p i a	None	257	p i - a ( - )
4730	Kaxarari	arrow	piˈja	piˈja	p i j a	None	257	p i j a ( - )
4731	Yaminawa	arrow	pia	pia	p i a	None	257	p i - a ( - )
4732	Yaminawa	arrow	piã	piã	p i ã	None	257	p i - ã ( - )
4733	Chaninawa	arrow	pia	pia	p i a	None	257	p i - a ( - )
4734	Sharanawa	arrow	pia	pia	p i a	None	257	p i - a ( - )
4735	Sharanawa	arrow	pian	pian	p i a n	None	257	p i - a ( n )
4736	Shanenawa	arrow	pia	pia	p i a	None	257	p i - a ( - )
4737	Katukina	arrow	pia	pia	p i a	None	257	p i - a ( - )
4738	Amawaka	arrow	piya_I	piya_I	p i j a	None	257	p i j a ( - )
4739	Kaxinawa	arrow	pia	pia	p i a	removed haʃi from data	257	p i - a ( - )
4740	Marinawa	arrow	pia	pia	p i a	también káɸiti	257	p i - a ( - )
4741	Yawanawa	arrow	pia	pia	p i a	None	257	p i - a ( - )
4744	Mayoruna	arrow	pia	pia	p i a	None	257	p i - a ( - )
6479	Marubo	arrow	ˈtawa	ˈtawa	t a w a	None	394	( - - - - ) t a w a ( - )
3236	Proto-Panoan	ascend	mapɨ-	mapɨ-	m a p ɨ	None	136	m a p ɨ ( - - - - )
3237	Kakataibo	ascend	mápɨrakɨ́-	mápɨrakɨ́-	m !á/a p ɨ r a k !ɨ́/ɨ	None	136	m !á/a p ɨ ( r a k !ɨ́/ɨ )
3239	Kapanawa	ascend	mapɨ́	mapɨ́	m a p ɨ́	None	136	m a p ɨ́ ( - - - - )
3240	Chakobo	ascend	mapɨ	mapɨ	m a p ɨ	None	136	m a p ɨ ( - - - - )
3241	Yaminawa	ascend	mapɨ	mapɨ	m a p ɨ	None	136	m a p ɨ ( - - - - )
3243	Amawaka	ascend	mapɨ-	mapɨ-	m a p ɨ	II	136	m a p ɨ ( - - - - )
3244	Kaxinawa	ascend	mapɨ-	mapɨ-	m a p ɨ	None	136	m a p ɨ ( - - - - )
3245	Marinawa	ascend	mápɨ-	mápɨ-	m !á/a p ɨ	None	136	m !á/a p ɨ ( - - - - )
2944	Proto-Panoan	ash, gray	koɽo	koɽo	k o ɽ o	None	112	( - - - - - ) k o ɽ o ( - - )
2945	Kakataibo	ash, gray	kweẽkoro	kweẽkoro	kʷ e ẽ k o r o	None	112	( - - kʷ e ẽ ) k o r o ( - - )
2946	Kakataibo	ash, gray	nɨtɨ_koro	nɨtɨ_koro	n ɨ t ɨ + k o r o	None	112	( n ɨ t ɨ + ) k o r o ( - - )
2947	Kakataibo	ash, gray	korokɨ	korokɨ	k o r o k ɨ	None	112	( - - - - - ) k o r o ( k ɨ )
2948	ShipiboKonibo	ash, gray	koro	koro	k o r o	None	112	( - - - - - ) k o r o ( - - )
2949	Kapanawa	ash, gray	koro	koro	k o r o	None	112	( - - - - - ) k o r o ( - - )
2950	Marubo	ash, gray	koro	koro	k o r o	None	112	( - - - - - ) k o r o ( - - )
2951	Chakobo	ash, gray	koro	koro	k o r o	None	112	( - - - - - ) k o r o ( - - )
2952	Katukina	ash, gray	kuru	kuru	k u r u	None	112	( - - - - - ) k u r u ( - - )
2953	Amawaka	ash, gray	koro	koro	k o r o	II	112	( - - - - - ) k o r o ( - - )
2954	Kaxinawa	ash, gray	kudu	kudu	k u d u	None	112	( - - - - - ) k u d u ( - - )
2955	Marinawa	ash, gray	kóró	kóró	k !ó/o r !ó/o	None	112	( - - - - - ) k !ó/o r !ó/o ( - - )
2957	Matis	ash, gray	kuɾu	kuɾu	k u ɾ u	None	112	( - - - - - ) k u ɾ u ( - - )
2958	Mayoruna	ash, gray	kuˈɾu	kuˈɾu	k u ɾ u	None	112	( - - - - - ) k u ɾ u ( - - )
3284	Kaxarari	ash, gray	mapuˈʔu	mapuˈʔu	m a p u ʔ u	None	140	( - - - - ) m a p u ʔ ( u - - - - )
3367	Proto-Panoan	atop	maʂka[t]	maʂka[t]	m a ʂ k a t	None	147	m a ʂ k a t ( - - - - - )
3369	ShipiboKonibo	atop	maʂká	maʂká	m a ʂ k !á/a	None	147	m a ʂ k !á/a - ( - - - - - )
3370	Kapanawa	atop	maʃ-	maʃ-	m a ʃ	None	626	m a ʃ - - - ( - - - - - )
3371	Chakobo	atop	maʂkátʃa	maʂkátʃa	m a ʂ k !á/a tʃ a	None	147	m a ʂ k !á/a tʃ ( - a - - - )
3372	Sharanawa	atop	maʂkanan	maʂkanan	m a ʂ k a n a n	None	147	m a ʂ k a - ( n a n - - )
3373	Sharanawa	atop	maʂkananun	maʂkananun	m a ʂ k a n a n u n	None	147	m a ʂ k a - ( n a n u n )
3374	Amawaka	atop	máxkaa	máxkaa	m !á/a x k a a	None	147	m !á/a x k a - ( - a - - - )
3375	Amawaka	atop	maxka	maxka	m a x k a	None	147	m a x k a - ( - - - - - )
3376	Kaxinawa	atop	maʂka	maʂka	m a ʂ k a	None	147	m a ʂ k a - ( - - - - - )
3377	Mayoruna	atop	maʂˈkad	maʂˈkad	m a ʂ k a d	None	147	m a ʂ k a d ( - - - - - )
5390	Proto-Panoan	axe	ɽoɨ	ɽoɨ	ɽ o ɨ	None	307	ɽ o - ɨ
5391	Kakataibo	axe	roɨ	roɨ	r o ɨ	None	307	r o - ɨ
5392	ShipiboKonibo	axe	roɨ	roɨ	r o ɨ	None	307	r o - ɨ
5393	Kapanawa	axe	rowɨ	rowɨ	r o w ɨ	None	307	r o w ɨ
5394	Marubo	axe	ˈruɨ	ˈruɨ	r u ɨ	None	307	r u - ɨ
5395	Shanenawa	axe	ɾuɨ	ɾuɨ	ɾ u ɨ	None	307	ɾ u - ɨ
5396	Katukina	axe	ɾui	ɾui	ɾ u i	None	307	ɾ u - i
