Grapheme	IPA	Examples	Languages	Frequence	Codepoints
ɨ́́	ɨ́	pɨ́́ʂɨ́́ʂɨaɸ, ʂɨ́́tɨ́́	Marinawa, Chakobo, Kapanawa, Kakataibo, Amawaka, ShipiboKonibo	34	U+0268 U+0301 U+0301
d$	d	tawad, paud	Mayoruna, MattisList, Korubo	32	U+0064 U+0024
g	g	llegar_a_ser_o_ponerse_gris, delgado	Kaxinawa, Mayoruna, ShipiboKonibo, Sharanawa, Chakobo, Marubo, Amawaka, Kapanawa, Marinawa	32	U+0067
k$	k	ak-, uk	Korubo, Mayoruna, MattisList, Kaxinawa, Yaminawa	31	U+006b U+0024
ɨ᷈$	ɨ᷈	hawɨ᷈, masɨ᷈	Yaminawa, Kakataibo, ShipiboKonibo, Marinawa, Kaxinawa, Marubo, Amawaka	31	U+0268 U+1dc8 U+0024
_$	_	makɨ_, nawa_bai_	Kakataibo, Chakobo, ShipiboKonibo, Kaxinawa, Amawaka, Yawanawa, Katukina, MattisList, Kapanawa, Yaminawa, Marinawa, Mayoruna, Poyanawa	31	U+005f U+0024
ii$	ii	nii, tʃii	Chaninawa, Sharanawa, Kakataibo, Yaminawa, Amawaka, Katukina, Marinawa, ShipiboKonibo, Chakobo, Kapanawa, Marubo	29	U+0069 U+0069 U+0024
^ɾ	ɾ	ɾama, ɾunu	Yawanawa, Shanenawa, Katukina, Yaminawa, Poyanawa, Marubo	29	U+005e U+027e
^c	c	claro, corteza	Mayoruna, Kaxinawa, Sharanawa, Amawaka, ShipiboKonibo, Chakobo, Kakataibo, Korubo	28	U+005e U+0063
^v	v	vi, voltear	Marubo, Kaxinawa, Kapanawa, Mayoruna, Chakobo, Yaminawa, Amawaka	28	U+005e U+0076
v	v	rivi, -ma-_<<causativo>>	Marubo, Kaxinawa, Marinawa, Katukina, Sharanawa, Kakataibo, Yaminawa, Amawaka, Mayoruna, Poyanawa	27	U+0076
ɨ́$	ɨ́	kapɨ́, mapɨ́	ShipiboKonibo, Kapanawa, Marinawa, Kakataibo, Amawaka, Yaminawa, Mayoruna	27	U+0268 U+0301 U+0024
